state,number_of_charging_points,number_of_stations,number_fast_charging_stations,number_regular_charging_stations
Baden-Württemberg,11419,5678,842,4836
Bayern,12367,6722,873,5849
Berlin,1641,954,144,810
Brandenburg,1440,737,152,585
Bremen,516,247,31,216
Hamburg,1241,616,116,500
Hessen,4745,2399,318,2081
Mecklenburg-Vorpommern,794,391,84,307
Niedersachsen,6297,3203,561,2642
Nordrhein-Westfalen,11266,5878,940,4938
Rheinland-Pfalz,2471,1269,327,942
Saarland,591,295,52,243
Sachsen,2732,1386,328,1058
Sachsen-Anhalt,1019,511,140,371
Schleswig-Holstein,2295,1164,204,960
Thüringen,1084,517,143,374
